설치장소,주소,급속충전기(대),지원차종
삼성동한일아파트,서울특별시 강남구 삼성동 48,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼성동현대아파트,서울특별시 강남구 삼성동 학동로64길 14,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼성파크 아파트,서울특별시 강남구 삼성동 삼성로99길 14,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
세곡리엔파크1단지,서울특별시 강남구 세곡동 508,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
세곡푸르지오아파트,서울특별시 강남구 세곡동 533,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
아크로힐스논현,서울특별시 강남구 논현동 276-1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
압구정하이츠파크,서울특별시 강남구 신사동 압구정로42길 78,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
역삼e-편한세상,서울특별시 강남구 역삼동 755-4,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
역삼래미안,서울특별시 강남구 역삼동 757,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
우정에쉐르 3차,서울특별시 강남구 대치동 950,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
청담래미안로이뷰,서울특별시 강남구 청담동 영동대로142길 16,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
청담자이 아파트,서울특별시 강남구 청담동 영동대로138길 12,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
청담파크파라곤,서울특별시 강남구 청담동 학동로97길 31,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
현대까르띠에710아파트,서울특별시 강남구 역삼동 710,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강동보건소,서울특별시 강동구 성내동 541-2,1,"SM3 Z.E,테슬라"
강동송파지사,서울특별시 강동구 둔촌동 522-9,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강동아트센터(강동문화재단),서울특별시 강동구 상일동 477,2,"SM3 Z.E,테슬라"
강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
고덕리엔파크1단지,서울특별시 강동구 상일로 152,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
길동삼익파크,서울특별시 강동구 길동 명일로 293,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
