충전소ID,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처
2048,설악면사무소,경기도 가평군 설악면 신천리 156-1,지상주차장,37.675788,127.494798,24시간,1899-2100
2051,홈플러스 강동점,서울특별시 강동구 양재대로 1571,지하1층,37.545407,127.142231,10:00~24:00,1899-2100
2052,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763,4층 주차장,37.45685749,127.0158574,09~22시,1899-2100
2054,이마트 TR 수원점,경기도 수원시 영통구 권선로908길 9,지상 4F D,37.24803452,127.045752,24시간,1899-2100
2180,홈플러스 상인점,대구광역시 달서구 월배로 183,지하3층주차장(지하4층 입구 앞),35.818514,128.533451,06~23시,1899-2100
2182,대구공항,"대구광역시 동구 공항로 221 (지저동, 대구국제공항)",본관 전면주차장,35.900139,128.636866,24시간,1899-2100
2186,홈플러스 동촌점,"대구광역시 동구 동촌로 127 (검사동, 홈플러스)",지하1층 주차장,35.886411,128.655848,마트 오픈시간 중,1899-2100
412,서부경찰서,제주특별자치도 제주시 애월읍 애조로 215,주차장 위병소 옆,33.473854,126.406239,주중/주말 : 24시간,1899-2100
241,화원명곡공원,대구광역시 달성군 화원읍 인흥1길 12,"지상주차장(좌측, 북동측 끝)",35.798161,128.504793,주중/주말 : 24시간,1899-2100
1568,서곡청솔 아파트,전라북도 전주시 완산구 효자동3가 1483-1,106동 뒤 지상 주차장,35.831995,127.100474,24시간,1899-2100
1574,현대엠코타운 아파트,"전라북도 전주시 완산구 양지3길 25 (평화동2가, 엠코타운 아파트)",지하 주차장 102동(구역 79),35.789426,127.119952,24시간,1899-2100
1577,제일풍경채에듀파크1단지,광주광역시 남구 행암동 526,(실내지하)101동 주차장004 입구,35.10019712,126.8821959,24시간,1899-2100
1582,대성사랑으로,전라남도 목포시 석현동 1074,(실내지하)P3주차장 18,34.818997,126.422224,24시간,1899-2100
907,가능 SK-VIEW 아파트,경기도 의정부시 신촌로 18-7,203동 B19 지하주차장 1층,37.74935933,127.0367863,24시간,1899-2100
915,일산 두산위브더제니스,경기도 고양시 일산서구 탄현동 일현로 97-11,지하3층 101동 입구뒤,37.69507232,126.7621678,24시간,1899-2100
585,방학극동 아파트,서울특별시 도봉구 시루봉로 11길 25-8,"지상 주차장(101동 1,2라인 옆)",37.66396,127.02672,24시간,1899-2100
1583,목포옥암부영애시앙2차 아파트,전라남도 목포시 옥암동 1144,(실내지하)P3 주차장 18,34.80967981,126.434406,24시간,1899-2100
1589,나주혁신중흥S클래스센트럴1차,"전라남도 나주시 우정로 77 (빛가람동, 빛가람 중흥S-CLASS센트럴1차)",지하 주차장(A51),35.024101,126.788261,24시간,1899-2100
1590,빛가람LH2단지,"전라남도 나주시 중야1길 42 (빛가람동, 빛가람엘에이치2단지아파트)",지하 주차장(P01 A12),35.015197,126.780274,24시간,1899-2100
1591,신월대주 아파트,전라남도 여수시 신월동 신월2길 35,(실외완전노출)102동 뒷편 화단 내,34.72859,127.712215,24시간,1899-2100
1595,금호신도시서한이다음,대구광역시 북구 사수동 한강로 17,지하 1층 A39구역,35.898005,128.511182,24시간,1899-2100
629,상무 SK뷰,광주광역시 서구 마륵복개로 140(치평동),(실내지하)지하 주차장(A24),35.14684,126.851261,24시간,1899-2100
633,상동 우성 아파트,,(실외완전노출)110동앞 주차장,34.80199474,126.4214172,24시간,1899-2100
38,남인천지사,인천광역시 연수구 청학동 448-2,입차시 지상주차장 좌측,37.425124,126.668388,주중/주말 : 06시~23시,1899-2100
861,범지기마을12단지,세종특별자치시 아름동 1276,지하주차장,36.511953,127.251742,24시간,1899-2100
1598,복현현대맨션,대구광역시 북구 복현동 복현로 115,102동 지하1층 주차장,35.900084,128.618844,24시간,1899-2100
1603,침산코오롱하늘채2단지,대구광역시 북구 침산동 중앙대로 591,지하주차장 1층 B13,35.885597,128.596084,24시간,1899-2100
543,위례롯데캐슬,경기도 하남시 학암동 위례중앙로 215,지하1층 주차장,37.474788,127.151029,24시간,1899-2100
463,대동빌라트,경상남도 창원시 진해구 자은동 910,관리사무소 뒤주차장,35.151761,128.708037,24시간,1899-2100
1606,태전한일 아파트,대구광역시 북구 태전동 칠곡중앙대로53길 32,102동 지하1층,35.919035,128.542583,24시간,1899-2100
1610,삼주봉황4차타운,경상북도 경산시 진량읍 봉황길 72,503동 505동 지하주차장 1층,35.883037,128.826885,24시간,1899-2100
2070,홈플러스 방학점,서울특별시 도봉구 도봉로 678,지상 5층 주차장,37.666096,127.044742,24시간,1899-2100
2074,마니산국민관광지,인천광역시 강화군 화도면 상방리 402-2,주차장 동쪽방면 끝위치,37.633951,126.424232,24시간,1899-2100
2077,고촌읍 주민센터,경기도 김포시 고촌읍 신곡리 530-1,지하주차장,37.603267,126.770995,24시간,1899-2100
615,무지개 아파트(부여),충청남도 부여군 규암면 흥수로 771-5,101동 지상 주자장,36.273122,126.865941,24시간,1899-2100
1934,수완2차호반베르디움,광주광역시 광산구 장덕동 1043,(실내지하) 주차장,35.199465,126.813605,24시간,1899-2100
831,꿈의숲대명루첸 아파트,서울특별시 성북구 장위동 317,B1층 103동 3-5호 B-31기둥,37.620405,127.047524,24시간,1899-2100
347,여주시청주차장,경기도 여주시 세종로 1,지상주차장,37.298366,127.637682,주중/주말 : 06시~23시,1899-2100
365,중소기업 비지니스센터,경상남도 김해시 주촌면 농소리 638-3,주차장 진입후 건물끝쪽 주차면,35.21341509,128.8315262,24시간,1899-2100
1467,개신삼익1차 아파트,충청북도 청주시 서원구 개신동 1-1,지상주차장(105동 앞),36.626983,127.466782,24시간,1899-2100
1476,하복대벽산 아파트,충청북도 청주시 흥덕구 복대동 짐대로 6,"105동 3,4호앞 지하1층주차장 49",36.635533,127.424976,24시간,1899-2100
1484,율량대원칸타빌4차 아파트,충청북도 청주시 청원구 율량동 율중로 10,지하2층주차장 802동 B06,36.661424,127.50557,24시간,1899-2100
1493,음성금광포란재 아파트,충청북도 음성군 음성읍 신천리 149,104-107동 사이 지하1층 D23,36.920242,127.686863,24시간,1899-2100
1502,신도브래뉴2차 아파트,충청남도 천안시 동남구 목천읍 목천안터2길 19,지하 주차장,36.776696,127.210826,24시간,1899-2100
1026,에코메트로10단지,인천광역시 남동구 논현동 773-1,지하2층 105동 앞,37.391003,126.727296,24시간,1899-2100
863,첫마을3단지,세종특별자치시 한솔동 950,지하주차장,36.479601,127.260716,24시간,1899-2100
67,동울산지사,울산광역시 북구 진장동 820-1,주차장 진입후 우측 주차면,35.557678,129.359626,06~23시,1899-2100
2192,홈플러스 칠곡점,대구광역시 북구 동암로12길 8,지하1층,35.945318,128.556085,24시간,1899-2100
2194,홈플러스 영주점,경상북도 영주시 대학로 29,4층주차장(안쪽),36.809127,128.621788,10~23시,1899-2100
2195,이마트 구미점,경상북도 구미시 구미대로 256,3층주차장 자동차정비소 옆,36.109244,128.36503,24시간,1899-2100
2202,홈플러스 동래점,부산광역시 동래구 온천동 153-8,지하2층 B2  F12,35.22165622,129.0857217,24시간,1899-2100
2204,양산웅상출장소,경상남도 양산시 주진동 72-2,주차장내,35.39490591,129.1551706,24시간,1899-2100
2207,김해 대동면사무소,경상남도 김해시 대동면 초정리 143-2,야외주차장,35.24211503,128.9804544,24시간,1899-2100
2211,마암면사무소 주차장,경상남도 고성군 마암면 도전리 670-8,사무소 앞,35.05519,128.336717,24시간,1899-2100
2212,남창원농협 농수산물유통센터,경상남도 창원시 성산구 가음동 47-2,옥상 주차장,35.20417,128.703138,10:00~22:00,1899-2100
2215,홈플러스 밀양점,경상남도 밀양시 내이동 1403-11,지상3층 01번기둥 앞,35.48924613,128.7404286,06~23시,1899-2100
665,각산푸르지오1단지 아파트,"대구광역시 동구 경안로 824 (각산동, 각산 푸르지오 1단지)",지하 2층 주차장,35.875713,128.716633,24시간,1899-2100
674,시지3차신매보성타운 아파트,"대구광역시 수성구 달구벌대로651길 23 (신매동, 시지3차신매보성타운)",지하 1층 주차장,35.839401,128.71304,24시간,1899-2100
681,인창삼환.신일 아파트,경기도 구리시 인창동 건원대로34번길 51,B2 저수조 옆,37.60486438,127.1427833,24시간,1899-2100
684,양주자이2단지 아파트,경기도 양주시 삼숭동 삼숭로38번길 78-12,203동 P22주차장,37.79610473,127.1016133,24시간,1899-2100
687,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,(쌍용어린이집 뒷편) 202동 제3주차장 지하1층,37.49469877,127.1292251,24시간,1899-2100
698,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,지하2층 A233 기둥,37.56853192,126.8197196,24시간,1899-2100
704,신월해주 아파트,서울특별시 양천구 신월동 217-8,"지하주차장 2층 (좌회전2번,우측벽)",37.52705741,126.8346395,24시간,1899-2100
727,서초힐스 아파트,서울특별시 서초구 우면동 773,지하주차장/B1-C49,37.45760689,127.0175687,24시간,1899-2100
729,고척LIG리가 아파트,서울 구로구 고척동 340,지하2층 주차번호 B03(전기실앞),37.50569765,126.8615056,24시간,1899-2100
731,당산대우 아파트,서울 영등포구 당산동2가 16-1,지하3층 기둥번호 A3-09,37.52112883,126.8933321,24시간,1899-2100
734,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,지하주차장 1층 101동,37.50513979,126.9145979,24시간,1899-2100
744,판교 알파리움2단지,경기도 성남시 분당구 백현동 판교역로 145,지하 2층 주차장,37.39347,127.109418,24시간,1899-2100
1319,무지개마을KCC아파트,경기도 군포시 당동 당동로 25,B1F,37.348765,126.94125,24시간,1899-2100
539,미사강변도시28단지,경기도 하남시 미사강변동로 50,정면 지하주차장 입구 옆,37.559884,127.195757,24시간,1899-2100
577,양현마을풍림아파트,경기도 용인시 기흥구 산양로 17,B1F 좌측,37.283426,127.106433,24시간,1899-2100
603,극동대야 아파트,경기도 시흥시 대야동 332-13,APT 지하(B1) 주차장 103동 앞,37.449255,126.786809,24시간,1899-2100
136,제주전력지사,제주특별자치도 제주시 가령로 68,제주전력지사,33.498596,126.536653,주중/주말 : 06시~23시,1899-2100
1346,죽전1차힐데스하임,경기도 용인시 기흥구 보정동 신촌로 93,1지하주차장,37.305472,127.114668,24시간,1899-2100
1046,대흥2차 아파트,강원도 원주시 태장동 1040-3,지상 전기실 앞,37.380177,127.951598,24시간,1899-2100
1512,새샘마을9단지,세종특별자치시 소담동 325,지하2층 주차장 A-36,36.488559,127.298958,24시간,1899-2100
326,횡성지사,강원도 횡성군 횡성읍 읍하리 561-7,급속 미설치,37.48894918,127.9828043,24시간 개방,1899-2100
349,여수 대포리 졸음쉼터,전라남도 여수시 소라면 대포리 산 125-6,(실외완전노출) 대포리 도로 우측,34.815629,127.620338,주중/주말 : 24시간,1899-2100
2083,김유정문학마을,강원도 춘천시 신동면 증리 868-1,버스 및 화물차 주차장,37.818462,127.716533,06~23시,1899-2100
2085,동내면사무소,강원도 춘천시 동내면 신촌리 583-1,지상주차장,37.848012,127.761109,24시간,1899-2100
2086,신사우동사무소,강원도 춘천시 사농동 99-7,동사무소 주차장,37.905663,127.727618,24시간,1899-2100
2092,후평1동행정복지센터,강원도 춘천시 후평동 713,행정복지센터 뒤편 주차장,37.886091,127.745122,09시 ~ 18시,1899-2100
2093,기후변화대응교육연구센터,강원도 원주시 행구동 1029,수변공원 주차장,37.343311,127.99668,24시간,1899-2100
2096,차량등록사업소,강원도 원주시 무실동 423-6,차량등록사업소 자전거주차장 옆,37.343286,127.92378,24시간,1899-2100
2098,홈플러스 원주점,강원도 원주시 관설동1453,차량정비소 우측 B1,37.317634,127.966737,마트 운영시간,1899-2100
2216,이마트 사천점,경상남도 사천시 삼천포대교로 591,1층주차장(A기둥),34.950233,128.077154,06~23시,1899-2100
2218,홈플러스 진해점,경상남도 창원시 진해구 충장로 356,지하2층 주차장,35.153162,128.691246,10~22,1899-2100
2220,홈플러스 진주점,경상남도 진주시 대신로 304,지상4층주차장 I4기둥,35.187546,128.117732,10~22시,1899-2100
2222,케이블카제2주차장,경상남도 통영시 도남동 349-1,버스주차장 바로위 지상주차장,34.826465,128.426887,24시간,1899-2100
2223,유배문학관주차장,경상남도 남해군 남해읍 남변리 555,지상주차장,34.832973,127.900008,24시간,1899-2100
736,가람아파트,서울특별시 강남구 일원동 일원로 127,113동 뒷편 4지하주차장,37.481773,127.085611,24시간,1899-2100
1356,미주동방벽운 아파트,서울특별시 노원구 상계동 동일로250길 18,"104,105동 사이 지상주차장",37.681033,127.05576,24시간,1899-2100
126,진도지사,전라남도 진도군 진도읍 남동리 745-46,(실외완전노출)진입 후 좌측 주차공간,34.48155459,126.2610993,24시간,1899-2100
680,마천동1공영주차장,서울특별시 송파구 성내천로43길 6,B동 1층 공영주차장 우측,37.495181,127.155564,주중/주말 : 24시간,1899-2100
929,방화동부센트레빌,서울특별시 강서구 방화동 875,지하1층 우측,37.57440124,126.814068,24시간,1899-2100
949,삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30,지하2층 좌측,37.51657903,127.0465082,24시간,1899-2100
1373,무악현대 아파트,서울특별시 종로구 무악동 통일로 246-20,110동 지하2층주차장,37.575074,126.959929,24시간,1899-2100
1391,송도자이하버뷰1단지,인천광역시 연수구 송도동 19-6,지하2층 D16번 기둥,37.395775,126.64086,24시간,1899-2100
208,응암3동 공영주차장,"서울특별시 은평구 불광천길 436 (응암동, 응암공영주차장)",공영주차장,37.593538,126.915227,주중/주말 : 24시간,1899-2100
1117,문수데시앙1단지 아파트,울산광역시 울주군 청량읍 율리 1472-1,1단지 B2/B-19,35.52675763,129.2419205,24시간,1899-2100
404,국립제주박물관,제주특별자치도 제주시 일주동로 17,주차장 입구 왼쪽,33.514248,126.54897,주중/주말 : 07시~19시,1899-2100
745,판교원마을12단지,경기도 성남시 분당구 판교동 서판교로 165,지하 2층 주차장,37.400457,127.093775,24시간,1899-2100
1215,서귀포동홍3LH 아파트,제주특별자치도 서귀포시 동홍동 353-1,서귀포 주공3단지 아파트,33.24983366,126.5739081,24시간,1899-2100
2099,강남동주민센터,강원도 강릉시 노암동 133,강남동주민센터 지상주차장,37.744127,128.905083,24시간,1899-2100
1615,본리2차롯데캐슬,대구광역시 달서구 본리동 대명천로 119,"지하주차장(203동 옆, G10)",35.838776,128.546124,24시간,1899-2100
1620,용산청구블루빌타운,대구광역시 달서구 용산동 용산로 254,지하주차장(105동 남측),35.859465,128.531368,24시간,1899-2100
1625,엠코타운더플레닛,경상북도 김천시 용전1로 9,지하주차장(103동 북측),36.118202,128.185669,24시간,1899-2100
1628,용강현진에버빌,경상북도 경주시 용강동 1380,206동 지하주차장 2층,35.885774,129.224772,24시간,1899-2100
1630,양학산KCC스위첸 아파트,경상북도 포항시 북구 용흥동 641,109동 지하 1층 주차장,36.02996,129.353603,24시간,1899-2100
1633,이동경성골드,"경상북도 포항시 남구 대이로 160 (이동, 경성골드아파트)",지하주차장,36.028749,129.340074,24시간,1899-2100
1634,창포아이파크1차,경상북도 포항시 북구 두호동 1103-3,104동 지하주차장 2층 40구역,36.063564,129.372832,24시간,1899-2100
1639,대곡주공9단지아람마을,대구광역시 달서구 도원동 한실로 30,지상주차장(901동-상가 사이),35.806931,128.530149,24시간,1899-2100
1640,대구월배2차IPARK,대구광역시 달서구 유천동 월배로5길 76,지하주차장(216동 옆),35.818176,128.512539,24시간,1899-2100
1641,동방현대타운,대구광역시 달서구 상인동 상인서로 85,지하주차장(101-102동 사이),35.816788,128.540363,24시간,1899-2100
1642,동서장관빌라,대구광역시 달서구 송현동 중흥로 68,지하주차장(103동옆),35.828468,128.557165,24시간,1899-2100
2228,장로회신학대학교,서울특별시 광진구 광장동 353,남문 주차장 앞,37.54945,127.104825,24시간,1899-2100
1239,위시티블루밍5단지,경기도 고양시 일산동구 식사동 위시티1로 7,P1 지하주차장 3층 503동 1.2 27B(파란색),37.67644919,126.8109843,24시간,1899-2100
1244,일산파밀리에4단지,경기도 고양시 일산서구 덕이동 하이파크3로 61,언덕 내려가다가 우측 P2 지하주차장 2층 410동(하늘색 기둥),37.69744862,126.7523136,24시간,1899-2100
1245,주교벽산 아파트,경기도 고양시 덕양구 주교동 마상로57번길 58,"지하주차장 진입 후, 아래층",37.66461448,126.8328297,24시간,1899-2100
1248,탄현마을6단지현대한신 아파트,경기도 고양시 일산서구 탄현동 현중로 64,"7동,8동사이 지하주차장",37.696302,126.7679738,24시간,1899-2100
1249,풍동쌍용 아파트,경기도 고양시 일산동구 풍동 애니골길 7-27,"지하주차장 1층, 102동 좌측, 잘 안보임",37.67021357,126.7892193,24시간,1899-2100
810,무악청구2차 아파트,서울특별시 서대문구 홍제동 통일로 344,지하주차장,37.580972,126.951218,24시간(입주민전용),1899-2100
378,전하시장 공영주차장,울산광역시 동구 전하동 449-10,주차장 진입후 좌측 주차면,35.51444,129.43166,24시간,1899-2100
69,서울산지사(공용),울산광역시 울주군 삼남면 교동리 1607-2,본관건물 고객지원팀 앞 2층 주차장 안,35.557884,129.112755,06~23시,1899-2100
264,강화지사,인천광역시 강화군 강화읍 갑곳리 350,지사 내 주차장 북동쪽방향,37.741711,126.499398,주중/주말 : 06시~23시,1899-2100
379,울주군보건소,울산광역시 울주군 삼남면 교동리 1605-1,보건소 맞은편 아리솔공원 앞쪽 주차면,35.558567,129.113739,24시간,1899-2100
381,남원생활체육관,제주특별자치도 서귀포시 남원읍 태위로 551-28,주차장입구 오른쪽,33.278181,126.704406,주중/주말 : 24시간,1899-2100
382,난산리 다목적회관,제주특별자치도 서귀포시 성산읍 난산리 1108,회관동측 주차장,33.401291,126.870952,24시간,1899-2100
395,구로4동 주택가 공동,서울 구로구 구로동 741-44,지상주차장 좌측,37.48951559,126.8868979,주중/주말 : 06시~23시,1899-2100
397,의왕시청,경기도 의왕시 시청로 11,시청 정문 우측 지상 주차장,37.345229,126.970062,주중/주말 : 06시~23시,1899-2100
399,LH강원본부,강원도 춘천시 효자동 692-10,지상주차장,37.868893,127.728485,주중/주말 : 06시~23시,1899-2100
400,LH전북본부,"전라북도 전주시 완산구 홍산로 158 (효자동2가, 한국토지주택공사 전북본부)",지하 3층 주차장(구역 102동 B3 44),35.807581,127.104901,평일 07~19시(휴일 이용불가),1899-2100
402,LH대구경북본부,대구광역시 달서구 상화로 272,지하주차장(안쪽 우측),35.807675,128.543916,주중/주말 : 09시~20시,1899-2100
413,송당리사무소,제주특별자치도 제주시 송당리 1265-1,본관건물 맞은편,33.471628,126.77915,주중/주말 : 24시간,1899-2100
1225,신도8차 아파트,경기도 양주시 광사동 부흥로 1901,입구 오른쪽 지하주차장1층,37.79370367,127.0737756,24시간,1899-2100
1241,일산임광진흥 아파트,경기도 고양시 일산서구 탄현동 탄현로 133,110동 지하주차장 기둥번호118,37.70299021,126.7658393,24시간,1899-2100
269,양양지사,강원 양양군 양양읍 서문리 124,지사주차장,38.07245,128.617897,주중/주말 : 06시~23시,1899-2100
278,기장지사,부산광역시 기장군 기장읍 청강리 154-6,기장지사 사옥 내 주차장(2층),35.234832,129.219646,06~23시,1899-2100
780,래미안 수지 이스트파크,경기도 용인시 수지구 풍덕천동 신수로683번길 19,P2 47,37.33,127.100446,24시간,1899-2100
2187,경북대학교(대구캠퍼스),대구광역시 북구 대학로 80,IT대학1호관 앞 주차장,35.887792,128.613286,24시간,1899-2100
2128,㈜농협대전유통,대전광역시 중구 대둔산로 199번길 43,2층 주차장,36.289046,127.377512,24시간,1899-2100
2036,전곡읍사무소,경기도 연천군 전곡읍 은대리 573,전곡읍사무소 왼쪽 지상주차장,38.027767,127.063312,24시간,1899-2100
2055,홈플러스 북수원점,경기도 수원시 장안구 경수대로 930,B2F,37.303088,127.008605,24시간,1899-2100
2062,이마트 안성점,경기도 안성시 석정동 149-3,F4주차장,37.01272693,127.2559909,10시~23시,1899-2100
2073,강화군청,인천광역시 강화군 강화읍 관청리 163,주차타워 출입 게이트 오른편,37.746731,126.487293,06~23시,1899-2100
2081,인천업사이클 에코센터,인천광역시 미추홀구 학익동736,업사이클 에코센터 주차장,37.443075,126.655366,24시간,1899-2100
671,수성누리빌데시앙 아파트,"대구광역시 수성구 국채보상로 1019 (만촌동, 수성누리빌데시앙)",102동 지하1층,35.867406,128.640868,24시간,1899-2100
531,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,지하1층 606동,37.468095,127.105372,24시간,1899-2100
2342,송산주공7단지아파트,경기도 의정부시 민락동 용현로 118,입구오른쪽 지하주차장 1층,37.74096503,127.0890623,24시간,1899-2100
2345,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,지하2층 1101동 12번 기둥,37.536822,127.133259,24시간,1899-2100
2347,한강극동아파트,서울특별시 송파구 풍납동 토성로 38-6,108동 지상주차장 노인정 앞,37.529071,127.11161,24시간,1899-2100
2349,구로삼성래미안,서울 구로구 구로동 256-1,직진P4 지하2층 좌 좌 48기둥,37.48750664,126.8920287,24시간,1899-2100
2353,마곡수명산파크1단지,서울특별시 강서구 내발산동 742,105-106동 지하1층 C15 기둥,37.55356618,126.830534,06~23시,1899-2100
2355,반포미도아파트,서울 서초구 반포동 60-4,306동 뒤 지상,37.50115186,127.0086289,24시간,1899-2100
2361,청북한양수자인아파트,경기도 평택시 청북읍 옥길리 1150,B2F O82,37.023729,126.921015,24시간,1899-2100
2362,한빛아파트,경기도 평택시 비전동 평남로 737,104동 지상주차장,36.99652607,127.1149145,24시간,1899-2100
2364,처인구코아루아파트,경기도 용인시 처인구 고림동 1002,제5주차장 B1F 5-02,37.258231,127.236971,24시간,1899-2100
2365,안성공도KCC스위첸,,114동 B1F B02,37.0016904,127.1770098,24시간,1899-2100
2368,제일오투그란데,경기도 화성시 향남읍 행정중앙2로 64,1101동 B1F E13,37.129031,126.923061,24시간,1899-2100
266,속초지사,강원도 속초시 동명동 258-1,지사주차장,38.2117614,128.5905531,주중/주말 : 09시~18시,1899-2100
271,경주지사,경상북도 경주시 동천동 804,사내주차장 후문 우측,35.854436,129.224947,주중/주말 : 06시~23시,1899-2100
272,상주지사,경상북도 상주시 경상대로 3051-17,지상주차장(북측),36.420006,128.149478,주중/주말 : 06시~23시,1899-2100
275,북포항지사,경북 포항시 북구 흥해읍 약성리 121-2,사옥내 주차장,36.1134556,129.3476568,24시간,1899-2100
276,울진지사(공용),경상북도 울진군 울진읍 울진북로 447 ,지상주차장(좌측 안쪽),36.988607,129.395131,주중/주말 : 06시~23시,1899-2100
277,영덕지사,경상북도 영덕군 영덕읍 우곡리 286,사옥내 주차장,36.41145,129.375104,주중/주말 : 06시~23시,1899-2100
279,거제지사,경상남도 거제시 서문로 3길 21,건물정면 앞 지상주차장,34.89013,128.618036,24시간,1899-2100
282,동대문디자인플라자,서울특별시 중구 을지로 281,지하2층 주차장 진입 후 정면,37.566821,127.009603,주중/주말 : 24시간,1899-2100
284,배봉공영주차장,서울특별시 동대문구 망우로 18나길 20,휘경중학교 옆 배봉공영주차장 내,37.587324,127.062235,주중/주말 : 24시간,1899-2100
286,서울특별시은평병원 주차장,서울특별시 은평구 백련산로 90,옥외주차장,37.594371,126.923464,주중/주말 : 24시간,1899-2100
751,e편한세상센트레빌2단지,경기도 광명시 하안동 오리로 801,지하주차장,37.46993974,126.8681225,24시간,1899-2100
757,조원주공뉴타운2단지,경기도 수원시 장안구 조원동 금당로39번길 34,제4주차장 208동앞 1F,37.302389,127.01959,24시간,1899-2100
760,동편마을3단지아파트,경기도 안양시 동안구 관양동 동편로 110,B1F 좌측,37.412389,126.96994,24시간,1899-2100
773,신동탄SK뷰파크,경기도 화성시 반월동 944,지하주차장 입구 우측 방면,37.222437,127.057367,24시간,1899-2100
995,중계센트럴파크,"서울특별시 노원구 덕릉로70가길 21 (상계동, 중계센트럴파크)",지하1층 우측돌아서 B-14,37.643296,127.059732,24시간,1899-2100
996,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30,지하1층 우측 돌아서 우측 구석자리,37.661553,127.043888,24시간,1899-2100
998,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,115동 지하1층 사 구역,37.659787,127.048115,24시간,1899-2100
999,창동주공19단지,서울특별시 도봉구 창동 노해로 403,1903단지와 상가 사이,37.650618,127.052432,24시간,1899-2100
1418,부천원미풍림 아파트,경기도 부천시 원미동 114-1,지하주차장,37.491554,126.792139,24시간,1899-2100
1422,청라SK뷰,인천광역시 서구 경서동 973-3,지하 2층 J10,37.52668,126.631167,24시간,1899-2100
1424,청라자이 아파트,인천광역시 서구 연희동 811-1,지하 1층 B18,37.527944,126.656975,24시간,1899-2100
1427,효성쌍용 아파트,경기도 부천시 중동 1036,지하주차장,37.505422,126.768386,24시간,1899-2100
1431,바흐카운티,인천광역시 동구 송림동 230-6,지하3층 입구,37.473405,126.640095,미개방,1899-2100
1433,송림휴먼시아1단지 아파트,인천광역시 동구 송림동 341,103동주차장 지하2층 44-45구역,37.479475,126.651651,미개방,1899-2100
1435,청라더샵레이크파크,인천광역시 서구 경서동 952-1,지하1층 O18,37.530443,126.637499,24시간,1899-2100
1440,영종힐스테이트,인천광역시 중구 중산동 1887-2,아파트 지하주차장,37.491879,126.565593,24시간,1899-2100
1441,보배 아파트,강원도 춘천시 온의동 509,관리사무소 옆 주차장,37.869698,127.713742,24시간,1899-2100
2138,장계면사무소,전라북도 장수군 장계면 장계리 689,면사무소 주차장,35.731853,127.588441,24시간,1899-2100
2156,여서청사 주차장,전라남도 여수시 여서동 222-2,(실외완전노출) 주차장 출구 지점,34.754196,127.708545,24시간,1899-2100
2190,이마트 칠성점,대구광역시 북구 침산로 93,지하주차장 3층 B6구역 ,35.885227,128.590277,24시간,1899-2100
2224,창선대교주차장,경상남도 남해군 창선면 대벽리 6-15,화장실앞 지상주차장,34.91732615,128.0311178,24시간,1899-2100
2369,더베일리하우스,경기 광주시 오포읍 신현리 825-17,204동 지상주차장,37.35357284,127.1488298,24시간,1899-2100
2375,심곡마을광교힐스테이트,경기도 용인시 수지구 상현동 수지로 75,B2F A119,37.307761,127.073741,24시간,1899-2100
2376,엘지빌리지 5차 A단지,경기도 용인시 수지구 신봉동 신봉1로 5,B1F 42,37.326306,127.071815,24시간,1899-2100
2377,화성파크드림아파트,경기도 용인시 기흥구 보라동 한보라2로 93,B1F B03,37.248521,127.111325,24시간,1899-2100
1444,반곡아이파크 아파트,강원도 원주시 반곡동 늘품로 199,"지하주차창 112동, 115동 사이",37.335358,127.963652,24시간,1899-2100
1453,동화3차 아파트,강원도 삼척시 남양동 338,지하주차장,37.44198836,129.1690649,24시간,1899-2100
1460,영월하송주공3차 아파트,강원도 영월군 영월읍 하송리 403,"302동 주차장, 관리사무소 앞",37.177677,128.457978,24시간,
699,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,지하1층 좌측 C07 기둥,37.564093,126.818064,24시간,1899-2100
722,서초네이처힐6단지,서울특별시 서초구 우면동 737,지하주차장/B1-19,37.46184725,127.0262574,24시간,1899-2100
742,샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,105동 108동 사이 지하주차장,37.48520065,127.0826748,24시간,1899-2100
1481,삼정2차 아파트,충청북도 청주시 청원구 율량동 율봉로175번길 54,삼정2차아파트 201동 뒤 지상 주차면,36.67107,127.490379,24시간,1899-2100
1497,버드내마을,대전광역시 중구 태평동 태평로 15,147 지하1층 주차장,36.317616,127.389045,24시간,1899-2100
776,동백금호어울림타운하우스 2단지,경기도 용인시 기흥구 중동 동백4로 53,B1F C07,37.272365,127.156455,24시간,1899-2100
779,동아솔레시티아파트,경기도 용인시 기흥구 보정동 보정로 30,"B1 107동 3,4호쪽",37.3103709,127.112268,24시간,1899-2100
799,동아에코빌 아파트,서울특별시 도봉구 도봉동 도봉로180길 6-23,107동 앞 지하1층 24번,37.681792,127.047134,24시간,1899-2100
