충전소ID,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처
1643,롯데캐슬레이크,대구광역시 달서구 도원동 상화로58길 86,지하3층주차장(105-108동 사이),35.805573,128.548189,24시간,1899-2100
2828,새터마을푸르지오,경기도 용인시 수지구 죽전동 현암로 126,B1F 29,37.331255,127.122958,미개방,1899-2100
2833,마평라이프아파트,경기도 용인시 처인구 마평동 605-1,B1F,37.231998,127.214453,24시간,1899-2100
2543,서북병원,서울특별시 은평구 갈현로7길 49,지상주차장,37.604605,126.905244,24시간,1899-2100
2689,용마아파트,경상북도 안동시 남선면 샘들윗길 58,지상주차장(102동 북측),36.532988,128.797094,24시간,1899-2100
2847,신촌동원로얄듀크,경상남도 창원시 성산구 신촌동 33-8,103동지하주차장 입구로 들어가 106동쪽,35.19785909,128.6285571,24시간,1899-2100
957,광교 자연앤힐스테이트,경기도 수원시 영통구 이의동 도청로 65,지하1층 주차장,37.288971,127.05034,24시간,1899-2100
2334,벽산e-솔렌스힐2차,경상남도 거제시 상동동 상동5길 117-16,입구정면 실내주차장 A25기둥,34.860509,128.629988,24시간,1899-2100
285,한국타이어 한남점,서울특별시 용산구 한남대로 80,한국타이어 한남점 사무실 앞,37.535905,127.006358,주중/주말 : 24시간,1899-2100
1294,미사강변센트리버,경기도 하남시 선동 미사강변대로 270,지하1층 주차장,37.574276,127.184232,24시간,1899-2100
1886,산남부영사랑으로,충청북도 청주시 서원구 산남동 1094,"지하주차장(108동 3,4라인 앞)",36.607977,127.472782,24시간,1899-2100
3028,고척스카이돔,서울 구로구 고척동 63-6,지하주차장옆 비상도로(지상),37.49852664,126.8662742,24시간,1899-2100
236,수성패밀리파크,대구광역시 수성구 팔현길 88-46,지상주차장,35.868964,128.672567,주중/주말 : 24시간,1899-2100
2101,강릉축협 하나로마트,강원도 강릉시 입암동 448,강릉축협하나로마트 지상주차장,37.754163,128.91264,24시간,1899-2100
2109,이마트 태백점,강원 태백시 화전동 113,이마트 태백점 2층 주차장,37.200291,128.961705,영업시간,1899-2100
2113,이마트 동해점,강원도 동해시 천곡동 831,지상3층 주차장,37.524239,129.117692,10~22시,1899-2100
2115,홈플러스 오창점,충청북도 청주시 청원구 중심상업1로 8-11,4층 지상주차장,36.713176,127.427947,24시간,1899-2100
2119,이마트 충주점,충청북도 충주시 문화동 1024,4층주차장 우측,36.971371,127.923844,10~23시,1899-2100
