,충전소,충전기,주소,위도,경도
61,하이넷 춘천휴게소(부산) 수소충전소,1.0,강원도 춘천시 동내면 영서로 1432 ,37.812785372249,127.766131070527
62,춘천동내수소충전소,1.0,강원도 춘천시 동내면 영서로 1632 ,37.8216967880946,127.761815290664
63,하이넷 문막휴게소(강릉) 수소충전소,1.0,강원도 원주시 문막읍 원문로 1234-1 ,37.3365246553588,127.858821366285
64,속초수소충전소,1.0,강원도 속초시 동해대로 4521 ,38.2175619540169,128.563730371042
65,삼척수소충전소,1.0,강원도 삼척시 동해대로 3848 ,37.4296289982519,129.18322130603
66,평창대관령수소충전소,1.0,강원도 평창군 대관령면 경강로 5754 ,37.6855230236318,128.75830269648
67,하이넷 내린천휴게소(양양) 수소충전소,1.0,강원도 인제군 상남면 서울양양고속도로 117 ,37.9175403488106,128.288270487163
68,청주수소충전소,1.0,충청북도 청주시 청원구 오창읍 양청농소길 101 ,36.7072865216593,127.440635964593
69,도원수소충전소,1.0,충청북도 청주시 청원구 내수읍 충청대로 771 ,36.7120721240447,127.53404482608
70,청주가로수수소충전소,1.0,충청북도 청주시 흥덕구 가로수로 793 ,36.6206459827624,127.386920994795
71,충주연수수소충전소,1.0,충청북도 충주시 금봉대로 605 ,36.9887560389284,127.945029235783
72,충주바이오그린 수소충전소,1.0,충청북도 충주시 벌터4길 13 ,36.9689636821716,127.894677044515
73,제천삼보수소충전소,1.0,충청북도 제천시 봉양읍 북부로 913 ,37.1391137078124,128.073112792327
74,하이넷 속리산휴게소 수소충전소,1.0, ,0,0
75,괴산군개미수소충전소,1.0,충청북도 괴산군 괴산읍 읍내로 55 ,36.7990723481985,127.775993996469
76,삼한수소충전소,1.0,충청북도 음성군 생극면 중원대로 792 ,37.0550392068503,127.602145801352
77,음성휴게소(남이) 수소충전소,1.0,충청북도 음성군 삼성면 중부고속도로 51 ,37.0170328460188,127.481291015236
78,음성휴게소(하남) 수소충전소,2.0,충청북도 음성군 삼성면 중부고속도로 52 ,37.0235811658804,127.484045361491
79,천안시수소충전소,2.0,충청남도 천안시 서북구 번영로 158 ,36.8150153666149,127.110258063346
80,망향린데수소충전소,2.0,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,36.8560259693033,127.181213326292
81,입장휴게소(서울) 수소충전소,2.0,충청남도 천안시 서북구 입장면 연곡길 407 ,36.943068193002,127.193601702658
82,아산시초사수소충전소,1.0,충청남도 아산시 무궁화로 52-26 ,36.747541504035,126.978465840659
83,하이넷 아산인주 수소충전소,1.0,충청남도 아산시 인주면 현대로1029번길 200-52 ,36.8484696426352,126.856727843295
84,서산시수소충전소,3.0,충청남도 서산시 음암면 서해로 3828 ,36.7825127279366,126.492880287662
85,당진수소충전소,3.0,충청남도 당진시 송산면 가곡로 189 ,36.9753093639337,126.707384565558
86,하이넷 당진정미 수소충전소,1.0,충청남도 당진시 정미면 서해로 4916 ,36.8385094812738,126.583949329399
87,내포수소충전소,1.0,충청남도 홍성군 홍북읍 용봉로 234 ,36.6351137068995,126.683886102559
88,하이넷 전주송천수소충전소,1.0,전라북도 전주시 덕진구 동부대로 1275 ,35.8697361672683,127.106991614403
89,전주삼천수소충전소,2.0,전라북도 전주시 완산구 정여립로 536 ,35.8024340335582,127.079678010893
90,익산2공단수소충전소,1.0,전라북도 익산시 석암로 169 ,35.9430615245533,127.008707120008
91,완주수소충전소,2.0,전라북도 완주군 봉동읍 과학로 930 ,35.9519354506941,127.126114197771
92,부안군수소충전소,2.0,전라북도 부안군 행안면 부안3농공단지길 80 ,35.7386845905445,126.723454094223
93,하이넷 여수SPG 수소충전소,1.0,전라남도 여수시 여수산단로 603 ,34.8314056725732,127.68572216283
94,하이넷 광양성황수소충전소,1.0,전라남도 광양시 백운로 955-4 ,34.9478920735312,127.67718125088
95,백양사휴게소(천안) 수소충전소,1.0,전라남도 장성군 북일면 호남고속도로 108 ,35.3929980237475,126.807393235328
96,하이넷 상주외답 수소충전소,1.0,경상북도 상주시 영남제일로 1339 ,36.4182633925737,128.193539036047
97,성주휴게소(양평) 수소충전소,1.0,경상북도 성주군 초전면 중부내륙고속도로 98 ,36.0082926831862,128.261639129248
98,창원성주수소충전소,1.0,경상남도 창원시 성산구 불모산로 43 ,35.1907617657212,128.722632034949
99,창원팔룡수소충전소,1.0,경상남도 창원시 의창구 소계로 1 ,35.2528282675607,128.605183654876
100,창원덕동수소충전소,1.0,경상남도 창원시 마산합포구 현동로 252 ,35.1344359694323,128.563565781884
101,창원센트럴수소충전소,1.0,경상남도 창원시 성산구 중앙대로21번길 5 ,0,0
102,창원죽곡수소충전소,2.0,경상남도 창원시 진해구 진해대로 1327 ,35.1145825898537,128.720838799651
103,창원사림수소충전소,1.0,경상남도 창원시 의창구 용동로 110 ,35.2400082724584,128.703270350615
104,진주수소충전소,1.0,경상남도 진주시 판문로 194 ,35.1838882890693,128.039973719182
105,하이넷 통영용남수소충전소,1.0,경상남도 통영시 용남면 남해안대로 38 ,34.8912457478826,128.471818582463
106,김해수소충전소,2.0,경상남도 김해시 김해대로2596번길 53 ,0,0
107,하이넷 거제장평수소충전소,1.0,경상남도 거제시 거제대로 5050 ,34.8947636382754,128.587446792026
108,양산시증산수소충전소,1.0,경상남도 양산시 물금읍 메기로 114 ,35.3034035505545,129.010256646375
109,H함안수소충전소,1.0,경상남도 함안군 군북면 현포로 205 ,35.2934667541833,128.348064495941
