노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,126.5,36.42004915,128.7325467,355387.2451,426049.5793
303,청주상주선,126.6,36.42006597,128.7334481,355468.0608,426052.8989
303,청주상주선,126.7,36.41954865,128.7346891,355580.4005,425997.4857
303,청주상주선,126.8,36.41929838,128.7357602,355676.9782,425971.4389
303,청주상주선,126.9,36.41904811,128.7368314,355773.556,425945.392
303,청주상주선,127,36.41879782,128.7379025,355870.1338,425919.3452
303,청주상주선,127.1,36.41881458,128.7388023,355950.812,425922.6593
303,청주상주선,127.2,36.41829723,128.7400447,356063.2896,425867.2514
303,청주상주선,127.3,36.41804691,128.7411159,356159.8676,425841.2044
303,청주상주선,127.4,36.41779659,128.742187,356256.4455,425815.1575
303,청주상주선,127.5,36.41754626,128.7432581,356353.0236,425789.1105
303,청주상주선,127.6,36.41756372,128.7441564,356433.5631,425792.5047
303,청주상주선,127.7,36.41704557,128.7454003,356546.1797,425737.0165
303,청주상주선,127.8,36.41679521,128.7464714,356642.7579,425710.9694
303,청주상주선,127.9,36.41656514,128.7475493,356739.9088,425687.1872
303,청주상주선,128,36.4163768,128.7486395,356838.0817,425668.0563
303,청주상주선,128.1,36.4162306,128.7497396,356937.054,425653.6197
303,청주상주선,128.2,36.41612689,128.7508471,357036.6014,425643.9115
303,청주상주선,128.3,36.41606588,128.7519594,357136.4977,425638.9524
303,청주상주선,128.4,36.4160468,128.753074,357236.5192,425638.6502
303,청주상주선,128.5,36.41605441,128.754189,357336.5242,425641.313
303,청주상주선,128.6,36.41604854,128.755304,357436.5466,425642.48
303,청주상주선,128.7,36.41604265,128.7564189,357536.5691,425643.647
303,청주상주선,128.8,36.41603676,128.7575339,357636.5917,425644.8141
303,청주상주선,128.9,36.41603085,128.7586488,357736.6143,425645.9811
303,청주상주선,129,36.41602494,128.7597638,357836.6369,425647.1481
303,청주상주선,129.1,36.41601901,128.7608787,357936.6596,425648.3151
303,청주상주선,129.2,36.41601308,128.7619936,358036.6823,425649.4821
303,청주상주선,129.3,36.41600713,128.7631086,358136.7051,425650.6491
303,청주상주선,129.4,36.41600117,128.7642235,358236.7279,425651.8161
303,청주상주선,129.5,36.4160001,128.7653385,358336.741,425653.5263
303,청주상주선,129.6,36.41602628,128.7664529,358436.6539,425658.2618
303,청주상주선,129.7,36.41608246,128.7675657,358536.3536,425666.3245
303,청주상주선,129.8,36.41616857,128.7686755,358635.7292,425677.7055
303,청주상주선,129.9,36.41627795,128.7697822,358734.7796,425691.6653
303,청주상주선,130,36.41638901,128.7708887,358833.8042,425705.8116
303,청주상주선,130.1,36.41650005,128.7719951,358932.8288,425719.9579
303,청주상주선,130.2,36.41661109,128.7731016,359031.8534,425734.1042
