sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,khaiValue
충북,보은읍,도시대기,0.002,0.6,0.004,0.017,29,11,54
충북,옥천읍,도시대기,0.003,0.6,0.005,0.057,53,17,95
충북,송정동(봉명동),도시대기,0.003,0.8,0.003,0.034,45,24,66
충북,사천동,도시대기,0.003,0.6,0.002,0.027,36,23,69
충북,용담동,도시대기,0.002,0.3,0.007,0.024,27,10,56
충북,용암동,도시대기,0.002,0.7,0.002,0.022,,,
충북,복대동,도로변대기,0.004,0.8,0.001,0.046,48,22,76
충북,호암동,도시대기,0.004,0.8,0.005,0.03,27,14,63
충북,칠금동,도시대기,0.005,0.8,0.003,0.034,50,24,74
충북,중앙탑면,도시대기,0.002,0.2,0.028,0.007,22,11,56
충북,살미면,도시대기,0.002,0.2,0.013,0.011,32,19,60
충북,장락동,도시대기,,,,,,,
충북,영천동,도시대기,0.01,0.7,0.003,0.033,30,19,64
충북,청풍면,도시대기,0.002,0.3,0.028,0.009,16,10,47
충북,오창읍,도시대기,,0.3,0.004,0.028,24,19,59
충북,산남동,도시대기,0.002,0.8,0.003,0.029,47,20,74
충북,오송읍,도시대기,0.003,0.5,0.002,0.023,35,16,69
충북,가덕면,도시대기,0.002,0.5,0.004,0.013,39,23,77
충북,매포읍,도시대기,0.003,0.8,0.004,0.042,32,20,70
충북,단성면,도시대기,0.004,0.4,0.024,0.012,21,15,64
충북,단양읍,도시대기,0.003,0.5,0.014,0.014,25,7,58
충북,청천면,교외대기,,,,,49,38,
충북,괴산읍,도시대기,0.004,0.7,0.001,0.016,33,18,58
충북,감물면,도시대기,0.004,0.4,0.002,0.014,36,18,69
충북,진천읍,도시대기,0.004,0.7,0.002,0.037,28,19,61
충북,덕산읍,도시대기,0.003,0.4,0.007,0.02,32,18,64
충북,금왕,교외대기,0.001,0.5,0.002,0.026,48,19,68
충북,음성읍,도시대기,0.002,0.5,0.003,0.025,31,17,63
충북,소이면,도시대기,0.002,0.5,0.006,0.013,39,23,74
충북,영동읍,도시대기,0.002,0.5,0.004,0.019,39,18,74
충북,도안면,도시대기,0.002,0.9,0.012,0.02,42,26,79
충북,증평읍,도시대기,0.002,0.6,0.002,0.015,37,19,54
충북,보은읍,도시대기,0.002,0.6,0.003,0.019,36,19,69
충북,옥천읍,도시대기,0.004,0.5,0.003,0.047,34,13,78
충북,호암동,도시대기,0.003,0.8,0.002,0.022,49,31,66
충북,칠금동,도시대기,0.002,0.6,0.003,0.023,44,27,72
충북,중앙탑면,도시대기,0.003,0.3,0.008,0.052,37,22,86
충북,살미면,도시대기,,0.2,0.008,0.01,37,21,61
충북,장락동,도시대기,0.002,0.6,0.003,0.022,41,22,66
충북,영천동,도시대기,0.003,0.6,0.003,0.021,55,27,72
충북,청풍면,도시대기,0.001,0.4,0.01,0.015,26,23,59
충북,오창읍,도시대기,0.001,0.3,0.006,0.025,27,19,61
충북,산남동,도시대기,0.003,0.6,0.003,0.036,48,25,74
충북,오송읍,도시대기,0.003,0.5,0.002,0.023,39,25,72
충북,가덕면,도시대기,0.002,0.5,0.003,0.014,31,28,82
충북,매포읍,도시대기,0.002,0.4,0.004,0.03,29,23,69
충북,단성면,도시대기,0.004,0.4,0.005,0.019,26,16,54
충북,단양읍,도시대기,0.001,0.5,0.006,0.015,31,16,51
충북,청천면,교외대기,,,,,51,42,
충북,괴산읍,도시대기,0.004,0.6,0.001,0.013,33,26,74
충북,감물면,도시대기,0.004,0.5,0.002,0.014,32,26,74
충북,진천읍,도시대기,0.002,0.6,0.002,0.033,36,29,72
충북,덕산읍,도시대기,0.003,0.4,0.008,0.015,34,23,69
충북,금왕,교외대기,0.002,0.6,0.002,0.02,65,32,66
충북,음성읍,도시대기,0.002,0.5,0.002,0.018,39,20,61
충북,소이면,도시대기,0.001,0.5,0.006,0.015,39,32,82
충북,영동읍,도시대기,0.002,0.6,0.003,0.019,41,27,77
충북,도안면,도시대기,0.002,0.5,0.002,0.019,57,39,79
충북,증평읍,도시대기,0.002,0.5,0.003,0.011,27,21,61
충북,보은읍,도시대기,0.002,0.6,0.003,0.016,36,17,69
충북,옥천읍,도시대기,0.002,0.5,0.007,0.027,41,23,69
충북,송정동(봉명동),도시대기,0.002,0.7,0.004,0.026,51,32,72
충북,사천동,도시대기,0.002,0.5,0.003,0.021,37,26,74
충북,용담동,도시대기,0.002,0.4,0.002,0.028,35,20,56
충북,용암동,도시대기,0.002,0.6,0.002,0.021,,,
충북,복대동,도로변대기,0.002,0.5,0.002,0.034,44,24,69
충북,송정동(봉명동),도시대기,0.002,0.8,0.006,0.023,61,45,109
충북,사천동,도시대기,0.002,0.5,0.004,0.026,54,47,101
충북,용담동,도시대기,0.003,0.5,0.003,0.028,36,24,72
