행정구역(시군구)별,행정구역(동읍면)별,총인구수 (명),면적(km^2),인구밀도(km^2)
수영구,망미1동,27260,1.22,22344
수영구,망미2동,10512,0.97,10837
수영구,민락동,28470,1.59,17906
수영구,수영동,14533,0.77,18874
연제구,거제1동,28662,1.48,19366
연제구,거제2동,11986,1.26,9513
연제구,거제3동,9829,0.45,21842
연제구,거제4동,10221,0.25,40884
연제구,연산1동,16700,0.71,23521
연제구,연산2동,20191,0.65,31063
연제구,연산3동,10942,0.14,78157
연제구,연산4동,15965,0.55,29027
연제구,연산5동,16587,0.56,29620
연제구,연산6동,16551,1.09,15184
연제구,연산8동,13895,0.42,33083
연제구,연산9동,34616,1.21,28608
영도구,남항동,10814,0.75,14419
영도구,동삼1동,27057,2.23,12133
영도구,동삼2동,4162,1.18,3527
영도구,동삼3동,9597,0.17,56453
영도구,봉래1동,6625,0.25,26500
영도구,봉래2동,7818,0.32,24431
영도구,신선동,8078,0.29,27855
영도구,영선1동,3911,0.17,23006
영도구,영선2동,8087,0.26,31104
영도구,청학1동,5959,0.45,13242
영도구,청학2동,17287,1.23,14054
중구,광복동,957,0.12,7975
중구,남포동,892,0.28,3186
중구,대청동,6182,0.28,22079
중구,동광동,2593,0.19,13647
중구,보수동,10509,0.35,30026
중구,부평동,4463,0.24,18596
중구,영주1동,4688,0.19,24674
중구,영주2동,6997,0.32,21866
중구,중앙동,3174,0.46,6900
해운대구,반송1동,13510,3.37,4009
해운대구,반송2동,22803,1.52,15002
해운대구,반여1동,33922,3.45,9832
해운대구,반여2동,12431,0.3,41437
해운대구,반여3동,8322,0.18,46233
해운대구,반여4동,15806,0.36,43906
해운대구,송정동,9767,2.83,3451
해운대구,우1동,22017,2.65,8308
해운대구,우2동,30579,2.73,11201
해운대구,우3동,28532,0.83,34348
해운대구,재송1동,37514,1.42,26418
해운대구,재송2동,24198,0.81,29874
해운대구,좌1동,17871,0.32,55847
해운대구,좌2동,31635,0.5,63270
해운대구,좌3동,15891,0.72,22071
해운대구,좌4동,22883,1.8,12713
해운대구,중1동,27840,1.73,16092
해운대구,중2동,15790,1.16,13612
