운영형태,관리기관명,주차장명,주차장관리번호,소재지도로명주소,주차장구분,주차장유형,주차구획수,위도,경도,교차로
민간위탁,부산광역시 금정구청,서3동제5공영주차장,2016000001,금정구 서3동 40-3,공영,노외,33,35.2213383,129.1050871,395
민간위탁,부산광역시 금정구청,서동미로시장 공영주차장,2020000001,금정구 서부로16번길 13-6 ,공영,노외,145,35.2158711,129.1041084,455
민간위탁,부산광역시 금정구청,두실공영주차장,2007010011,금정구 구서2동 1052,공영,노외,66,35.25683665,129.080217,113
민간위탁,부산광역시 금정구청,금샘로 노상공영주차장,2007001227,금정구 남산동 970-1,공영,노상,334,35.2680875,129.0897851,219
민간위탁,부산광역시 금정구청,회동고가 밑,2007001511,금정구 금사회동동 158-10,공영,노상,140,35.224064,129.1135607,284
민간위탁,부산광역시 금정구청,부곡3동 SK후문 노상공영주차장,2007001021,금정구 부곡3동 63-11,공영,노상,28,35.2397112,129.1098856,17
민간위탁,부산광역시 금정구청,금사고가밑,2007001509,금정구 금사회동동 547-3,공영,노외,101,35.224064,129.1135607,284
민간위탁,부산광역시 금정구청,서3동제2공영주차장,2007010006,금정구 서3동 410-1,공영,노외,29,35.2213383,129.1050871,395
민간위탁,부산광역시 금정구청,기찰1로소규모공동주차장,2007011443,금정구 부곡2동 232-18,공영,노외,31,35.2300149,129.0959009,249
민간위탁,부산광역시 금정구청,서3동 제1공영주차장,2007010005,금정구 서3동 37-7,공영,노외,43,35.2213383,129.1050871,395
민간위탁,부산광역시 금정구청,부곡4동공영주차장,2007011300,금정구 부곡4동 768-39,공영,노외,32,35.21886655,129.090586,379
민간위탁,부산광역시 금정구청,서1동제1공영주차장,2007010001,금정구 서1동 161-26,공영,노외,331,35.21809715,129.0981985,439
민간위탁,부산광역시 금정구청,안뜰로소규모공동주차장,2007011109,금정구 구서2동 178-21,공영,노외,20,35.25683665,129.080217,113
민간위탁,부산광역시 금정구청,부곡2동공영주차장,2007010008,금정구 부곡2동 294-20,공영,노외,78,35.2300149,129.0959009,249
민간위탁,부산광역시 금정구청,금사동 소규모공동주차장,2007011171,금정구 금사회동동 50-10,공영,노외,18,35.224064,129.1135607,284
민간위탁,부산광역시 금정구청,남산동꽃님공영주차장,2007010010,금정구 남산동 967-1,공영,노외,46,35.2680875,129.0897851,219
시설관리공단위탁,부산광역시 금정구청,도시철도 장전역,2007011207,금정구 부곡3동 242,공영,노외,192,35.24570745,129.1158562,0
시설관리공단위탁,부산광역시 금정구청,도시철도구서역,2007011184,금정구 구서1동 475,공영,노외,279,35.2499326,129.0766857,53
민간위탁,부산광역시 금정구청,회동동 노상공영주차장,2007001312,금정구 금사회동동 209-5,공영,노상,79,35.224064,129.1135607,284
시설관리공단위탁,부산광역시 금정구청,도시철도 노포역,2007011298,금정구 청룡노포동 133,공영,노외,394,35.273102,129.092668,178
민간위탁,부산광역시 금정구청,남산동금정농협앞 노상공영주차장,2009000001,금정구 남산동 320-19,공영,노상,13,35.2680875,129.0897851,219
구(군)직영,부산광역시 강서구청,명지오션시티 중앙상가로 공영주차장,2012000001,강서구  3282,공영,노상,75,37.5509,126.8497,548
민간위탁,부산광역시 강서구청,명지시장공영주차장,2016000001,강서구 신포길17번길 8 ,공영,노외,15,35.1129385,128.931576,252
민간위탁,부산광역시 강서구청,명지I.C공영주차장,2008001022,강서구  1-395,공영,노상,36,37.5509,126.8497,548
구(군)직영,부산광역시 강서구청,녹산산단 공영주차장,2008001024,강서구 녹산산단262로50번길 53 ,공영,노외,144,35.0844989,128.8427711,104
구(군)직영,부산광역시 강서구청,대항공영주차장,2014000001,강서구 가덕해안로 1187 ,공영,노외,89,35.0226088,128.8228787,17
구(군)직영,부산광역시 강서구청,행복마을 공영주차장,2018000002,강서구 명지오션시티10로 132 ,공영,노외,16,35.086657,128.9007962,196
구(군)직영,부산광역시 강서구청,지양곡 공영주차장,2018000001,강서구 가덕해안로 1001,공영,노외,99,35.0226088,128.8228787,17
민간위탁,부산광역시 사하구청,신평패션칼라산업단지 노상,2013000002,사하구 신산로 11 ,공영,노상,94,35.0900318,128.9660398,98
민간위탁,부산광역시 사하구청,하단1동 유수지 공영주차장,2013000003,사하구 하신번영로 243,공영,노외,46,35.0890192,128.9602192,88
민간위탁,부산광역시 사하구청,동주마루 공영주차장,2013000004,사하구 괴정2동 378-57  ,공영,노외,48,35.1074187,129.0038335,133
민간위탁,부산광역시 사하구청,신평골목시장 노상공영주차장,2014000002,사하구 신평1동 33-166,공영,노상,0,35.0912277,128.9764822,111
민간위탁,부산광역시 사하구청,신평골목시장 공영주차장,2018000003,사하구 다대로116번길 13,공영,노외,43,35.0924128,128.9776901,127
민간위탁,부산광역시 사하구청,장림포구 공영주차장,2019000003,사하구 장림로93번길 72,공영,노상,98,35.07918995,128.9516513,45
