충전소,충전기,주소,위도,경도
도원수소충전소,1,충청북도 청주시 청원구 내수읍 충청대로 771 ,36.71207212,127.5340448
청주가로수수소충전소,1,충청북도 청주시 흥덕구 가로수로 793 ,36.62064598,127.386921
충주연수수소충전소,1,충청북도 충주시 금봉대로 605 ,36.98875604,127.9450292
충주바이오그린 수소충전소,1,충청북도 충주시 벌터4길 13 ,36.96896368,127.894677
제천삼보수소충전소,1,충청북도 제천시 봉양읍 북부로 913 ,37.13911371,128.0731128
하이넷 속리산휴게소 수소충전소,1, ,0,0
괴산군개미수소충전소,1,충청북도 괴산군 괴산읍 읍내로 55 ,36.79907235,127.775994
삼한수소충전소,1,충청북도 음성군 생극면 중원대로 792 ,37.05503921,127.6021458
음성휴게소(남이) 수소충전소,1,충청북도 음성군 삼성면 중부고속도로 51 ,37.01703285,127.481291
음성휴게소(하남) 수소충전소,2,충청북도 음성군 삼성면 중부고속도로 52 ,37.02358117,127.4840454
천안시수소충전소,2,충청남도 천안시 서북구 번영로 158 ,36.81501537,127.1102581
망향린데수소충전소,2,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,36.85602597,127.1812133
입장휴게소(서울) 수소충전소,2,충청남도 천안시 서북구 입장면 연곡길 407 ,36.94306819,127.1936017
아산시초사수소충전소,1,충청남도 아산시 무궁화로 52-26 ,36.7475415,126.9784658
하이넷 아산인주 수소충전소,1,충청남도 아산시 인주면 현대로1029번길 200-52 ,36.84846964,126.8567278
서산시수소충전소,3,충청남도 서산시 음암면 서해로 3828 ,36.78251273,126.4928803
당진수소충전소,3,충청남도 당진시 송산면 가곡로 189 ,36.97530936,126.7073846
하이넷 당진정미 수소충전소,1,충청남도 당진시 정미면 서해로 4916 ,36.83850948,126.5839493
내포수소충전소,1,충청남도 홍성군 홍북읍 용봉로 234 ,36.63511371,126.6838861
하이넷 전주송천수소충전소,1,전라북도 전주시 덕진구 동부대로 1275 ,35.86973617,127.1069916
전주삼천수소충전소,2,전라북도 전주시 완산구 정여립로 536 ,35.80243403,127.079678
익산2공단수소충전소,1,전라북도 익산시 석암로 169 ,35.94306152,127.0087071
완주수소충전소,2,전라북도 완주군 봉동읍 과학로 930 ,35.95193545,127.1261142
부안군수소충전소,2,전라북도 부안군 행안면 부안3농공단지길 80 ,35.73868459,126.7234541
하이넷 여수SPG 수소충전소,1,전라남도 여수시 여수산단로 603 ,34.83140567,127.6857222
하이넷 광양성황수소충전소,1,전라남도 광양시 백운로 955-4 ,34.94789207,127.6771813
백양사휴게소(천안) 수소충전소,1,전라남도 장성군 북일면 호남고속도로 108 ,35.39299802,126.8073932
하이넷 상주외답 수소충전소,1,경상북도 상주시 영남제일로 1339 ,36.41826339,128.193539
성주휴게소(양평) 수소충전소,1,경상북도 성주군 초전면 중부내륙고속도로 98 ,36.00829268,128.2616391
창원성주수소충전소,1,경상남도 창원시 성산구 불모산로 43 ,35.19076177,128.722632
창원팔룡수소충전소,1,경상남도 창원시 의창구 소계로 1 ,35.25282827,128.6051837
창원덕동수소충전소,1,경상남도 창원시 마산합포구 현동로 252 ,35.13443597,128.5635658
창원센트럴수소충전소,1,경상남도 창원시 성산구 중앙대로21번길 5 ,0,0
창원죽곡수소충전소,2,경상남도 창원시 진해구 진해대로 1327 ,35.11458259,128.7208388
창원사림수소충전소,1,경상남도 창원시 의창구 용동로 110 ,35.24000827,128.7032704
진주수소충전소,1,경상남도 진주시 판문로 194 ,35.18388829,128.0399737
하이넷 통영용남수소충전소,1,경상남도 통영시 용남면 남해안대로 38 ,34.89124575,128.4718186
김해수소충전소,2,경상남도 김해시 김해대로2596번길 53 ,0,0
하이넷 거제장평수소충전소,1,경상남도 거제시 거제대로 5050 ,34.89476364,128.5874468
양산시증산수소충전소,1,경상남도 양산시 물금읍 메기로 114 ,35.30340355,129.0102566
H함안수소충전소,1,경상남도 함안군 군북면 현포로 205 ,35.29346675,128.3480645
