시도,행정구,법정동,행정동,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,위도,경도
부산광역시,남구,대연동,대연동,대흥택시 주변,공영,노상,부산광역시 남구 대연동  1018번지,12,35.13147868,129.0981923
부산광역시,남구,대연동,대연동,수영로266번길(글로리빌라 앞),공영,노상,부산광역시 남구 대연동  548-6번지,5,35.13268683,129.0998694
부산광역시,남구,대연동,대연동,부산공고담장주변,공영,노상,부산광역시 남구 대연동  1195-160번지,28,35.12983113,129.0860579
부산광역시,사상구,삼락동,삼락동,삼락재첩거리주변,공영,노상,부산광역시 사상구 삼락동  70-21,136,35.19326489,128.9858618
부산광역시,사상구,엄궁동,엄궁동,엄궁외식1번가주변,공영,노상,부산광역시 사상구 엄궁동  652-7,74,35.12651097,128.9669934
부산광역시,사상구,학장동,학장동,학장동주민센터주변,공영,노상,부산광역시 사상구 학장동  386-1,112,35.14404691,128.9873163
부산광역시,사상구,주례동,주례동,동서고가도로밑주변,공영,노상,부산광역시 사상구 주례동  394,90,35.15249513,129.0028615
부산광역시,사상구,주례동,주례동,동신운수옆복개공영주차장,공영,노상,부산광역시 사상구 주례동  1160-53,91,35.14961515,128.9977816
부산광역시,사상구,주례동,주례동,주례오거리공영주차장,공영,노상,부산광역시 사상구 주례동  437-1,93,35.15127511,129.0011119
부산광역시,사상구,감전동,감전동,감전중천주변,공영,노상,부산광역시 사상구 감전동  150-1,189,35.15417607,128.977001
부산광역시,사상구,엄궁동,엄궁동,엄궁초등학교지하주차장,공영,노외,부산광역시 사상구 엄궁동  47,93,35.12907896,128.974319
부산광역시,사상구,주례동,주례동,학장천공영주차장,공영,노외,부산광역시 사상구 주례동  1287,90,35.14510083,128.9945207
부산광역시,사상구,덕포동,덕포동,덕포백양공원공영주차장,공영,노외,부산광역시 사상구 덕포동  776-1,50,35.17500745,128.9894277
부산광역시,사상구,주례동,주례동,양지2공원주변,공영,노외,부산광역시 사상구 주례동  314,74,35.15398231,129.0046384
부산광역시,남구,감만동,감만동,양지아파트주변,공영,노외,부산광역시 남구 감만동  44-149번지,15,35.1234956,129.0850272
부산광역시,남구,감만동,감만동,감만2동 제1공영주차장,공영,노외,부산광역시 남구 감만동  3-47번지,22,35.12114269,129.0866851
부산광역시,남구,감만동,감만동,감만2동 제2공영주차장,공영,노외,부산광역시 남구 감만동  3-598번지,10,35.11990309,129.0860343
부산광역시,남구,우암동,우암동,새마을금고 주변,공영,노상,부산광역시 남구 우암동  189번지,22,35.12791833,129.0710305
부산광역시,남구,우암동,우암동,당산로 공영주차장,공영,노외,부산광역시 남구 우암동  93-11번지,17,35.12597705,129.0776986
부산광역시,남구,우암동,우암동,우암양달로 주거지주차장,공영,노상,부산광역시 남구 우암동  181-498번지,12,35.12619225,129.0721738
부산광역시,남구,문현동,문현동,문현광원맨션 주변,공영,노상,부산광역시 남구 문현동  557-15번지,30,35.14561192,129.0720746
부산광역시,남구,문현동,문현동,성암사 주변,공영,노상,부산광역시 남구 문현동  71-6번지,21,35.14561348,129.0788734
부산광역시,남구,문현동,문현동,효성택시 진입로,공영,노상,부산광역시 남구 문현동  86-7번지,11,35.14341143,129.0784309
부산광역시,남구,문현동,문현동,부림빌라 뒤,공영,노상,부산광역시 남구 문현동  31-85번지,6,35.14607674,129.0744388
부산광역시,남구,문현동,문현동,진남로232번길 공영주차장,공영,노외,부산광역시 남구 문현동  53-11번지,28,35.14579714,129.0768142
부산광역시,남구,대연동,대연동,문화회관진입로,공영,노상,부산광역시 남구 대연동  848-4번지,19,35.12734825,129.0937845
부산광역시,남구,대연동,대연동,대연극동아파트 옆,공영,노상,부산광역시 남구 대연동  282-5번지,12,35.14007543,129.0914409
부산광역시,남구,대연동,대연동,사슴빌라 주변,공영,노상,부산광역시 남구 대연동  1487-15번지,5,35.14141342,129.090363
부산광역시,남구,대연동,대연동,동보빌리지 주변,공영,노상,부산광역시 남구 대연동  1479-22번지,10,35.14039105,129.0893968
부산광역시,남구,대연동,대연동,못골성당 앞,공영,노상,부산광역시 남구 대연동  1535-2번지,7,35.13721952,129.0872689
부산광역시,남구,대연동,대연동,중앙고교담장주변,공영,노상,부산광역시 남구 대연동  1779번지,35,35.13846097,129.0794717
부산광역시,남구,대연동,대연동,부산세무고등학교주변,공영,노상,부산광역시 남구 대연동  1801번지,29,35.13883964,129.0847668
부산광역시,남구,용호동,용호동,용호초등학교뒤 공영주차장,공영,노외,부산광역시 남구 용호동  66-3번지,19,35.12293769,129.1081849
부산광역시,남구,용호동,용호동,용호중앙교회앞 공영주차장,공영,노외,부산광역시 남구 용호동  409-25번지,14,35.11857015,129.1091113
부산광역시,남구,용호동,용호동,솔밭공원 윗길,공영,노상,부산광역시 남구 용호동  409-22번지,14,35.11866598,129.1087571
부산광역시,남구,용호동,용호동,솔밭공원 아랫길,공영,노상,부산광역시 남구 용호동  356-1번지,10,35.11955624,129.1098539
부산광역시,남구,용호동,용호동,용호성당 주변,공영,노상,부산광역시 남구 용호동  487-9번지,9,35.11695928,129.1105734
부산광역시,남구,용호동,용호동,삼성시장 배수펌프장 상부,공영,노외,부산광역시 남구 용호동  265-4번지,18,0,0
부산광역시,남구,용호동,용호동,용호1동 제4공영주차장,공영,노외,부산광역시 남구 용호동  221-1번지,17,35.12442217,129.1093289
부산광역시,남구,용호동,용호동,백세교,공영,노외,부산광역시 남구 용호동  869번지,28,35.11379763,129.1163925
부산광역시,남구,용호동,용호동,다보네가구 주차장(부설개방),공영,노외,부산광역시 남구 용호동  566-3번지,5,35.10825424,129.1134503
부산광역시,남구,용호동,용호동,용호종합복지관주변,공영,노상,부산광역시 남구 용호동  85-2번지,26,35.12427221,129.1138174
부산광역시,남구,용호동,용호동,분포맨션주변,공영,노상,부산광역시 남구 용호동  368-3번지,8,35.12153289,129.1129175
부산광역시,남구,용호동,용호동,"이기대제1,제2공영주차장",공영,노외,부산광역시 남구 용호동  15-1번지,151,35.12558138,129.1184156
부산광역시,남구,용호동,용호동,오륙도수변공원 공영주차장,공영,노외,부산광역시 남구 용호동  산 196-4번지,13,35.10010812,129.1225769
부산광역시,남구,문현동,문현동,현대오일뱅크주유소 옆,공영,노상,부산광역시 남구 문현동  876-8번지,29,0,0
부산광역시,남구,문현동,문현동,청호탕 주변,공영,노상,부산광역시 남구 문현동  655-149번지,31,35.13279298,129.0764537
부산광역시,남구,문현동,문현동,대송주택 주변,공영,노상,부산광역시 남구 문현동  270-41번지,19,0,0
부산광역시,남구,문현동,문현동,한일오피스텔주변,공영,노상,부산광역시 남구 문현동  838번지,51,35.13615144,129.0673855
부산광역시,남구,용호동,용호동,스카이워크공영주차장,공영,노외,부산광역시 남구 용호동  950번지,45,35.10260881,129.1223469
부산광역시,남구,문현동,문현동,문현1동 제2공영주차장,공영,노외,부산광역시 남구 문현동  54-59번지,37,35.14515811,129.0765938
부산광역시,남구,문현동,문현동,성동중학교 담장 주변,공영,노상,부산광역시 남구 문현동  791-1번지,17,35.14136114,129.0650568
부산광역시,남구,문현동,문현동,E-마트 담벽 주변,공영,노상,부산광역시 남구 문현동  751번지,18,35.14432059,129.0642619
부산광역시,남구,문현동,문현동,하이빌 주변,공영,노상,부산광역시 남구 문현동  603번지,12,35.1464148,129.068509
부산광역시,남구,문현동,문현동,신풍상사 주변,공영,노상,부산광역시 남구 문현동  738-1번지,9,35.14477118,129.0661008
부산광역시,남구,문현동,문현동,문현2동 주민센터 윗편,공영,노상,부산광역시 남구 문현동  552-8번지,13,35.14500527,129.0693647
부산광역시,남구,문현동,문현동,수영로69번길 공영주차장,공영,노외,부산광역시 남구 문현동  262-22번지,16,0,0
부산광역시,남구,문현동,문현동,수영로39번길(번영로 아래),공영,노상,부산광역시 남구 문현동  231-8번지,118,35.13751584,129.0743044
부산광역시,남구,문현동,문현동,구거복개지,공영,노상,부산광역시 남구 문현동  837-1번지,27,35.13591111,129.0680873
부산광역시,남구,용호동,용호동,용호4동 주민센터 주변,공영,노상,부산광역시 남구 용호동  534-18번지,19,35.1133123,129.1100969
부산광역시,남구,용호동,용호동,해군아파트아래 담장길,공영,노상,부산광역시 남구 용호동  534-30번지,11,35.11453991,129.1096437
부산광역시,남구,용호동,용호동,용호로178번길 공영주차장,공영,노외,부산광역시 남구 용호동  485-2번지,25,35.11636929,129.1100094
부산광역시,남구,용당동,용당동,유엔평화로 153번길,공영,노상,부산광역시 남구 용당동  552-16번지,9,35.12336648,129.0984979
부산광역시,남구,감만동,감만동,동국제강 진입로,공영,노상,부산광역시 남구 감만동  602번지,47,35.11927583,129.0804864
부산광역시,남구,감만동,감만동,119안전센터 옆,공영,노상,부산광역시 남구 감만동  592-24번지,19,35.11932743,129.0806879
부산광역시,남구,감만동,감만동,감만동 홍곡로 공영주차장,공영,노외,부산광역시 남구 감만동  187-9번지,18,35.11625886,129.0836943
부산광역시,남구,감만동,감만동,국제아파트주변,공영,노상,부산광역시 남구 감만동  27-10번지,14,35.12173349,129.085256
부산광역시,남구,감만동,감만동,하얏트아파트 주변,공영,노상,부산광역시 남구 감만동  33-401번지,9,35.12429741,129.0867311
부산광역시,서구,서대신동,서대신동,서대4제3공영,공영,노상,부산광역시 서구 서대신동 3가 7-5,22,35.12769913,129.0071513
부산광역시,서구,초장동,초장동,초장동제1공영,공영,노상,부산광역시 서구 초장동  128-28,36,35.09294532,129.0188367
부산광역시,서구,초장동,초장동,초장동제2공영,공영,노상,부산광역시 서구 초장동  89-87,37,35.09448245,129.0203678
부산광역시,서구,암남동,암남동,등대로공영,공영,노상,부산광역시 서구 암남동  123-37,48,35.08080109,129.0250194
부산광역시,서구,충무동,충무동,충무동제7공영,공영,노상,부산광역시 서구 충무동 1가 43-1,8,35.09561294,129.0253592
부산광역시,서구,동,동,동대1제4공영,공영,노상,부산광역시 서구 동 대신동 1가 9-48,15,35.11198399,129.0245649
부산광역시,서구,서대신동,서대신동,서대4제1공영,공영,노상,부산광역시 서구 서대신동 3가 산2-6,19,35.12113644,129.0151947
부산광역시,서구,서대신동,서대신동,서대4제2공영,공영,노상,부산광역시 서구 서대신동 3가 147-45,12,35.11811568,129.0119314
부산광역시,서구,암남동,암남동,암남동제2공영,공영,노상,부산광역시 서구 암남동  135-8,31,35.07247839,129.0169718
부산광역시,서구,암남동,암남동,암남동제7공영,공영,노상,부산광역시 서구 암남동  537-4,36,35.07543002,129.0160784
부산광역시,서구,암남동,암남동,암남동제8공영,공영,노상,부산광역시 서구 암남동  614-5,50,35.07221469,129.0166206
부산광역시,서구,암남동,암남동,암남동제10공영,공영,노상,부산광역시 서구 암남동  95-13,56,35.08060355,129.0243072
부산광역시,서구,남부민동,남부민동,남부민2동제1공영,공영,노상,부산광역시 서구 남부민동  705,13,35.08477133,129.0257308
부산광역시,서구,동대신동,동대신동,동대1제5공영,공영,노상,부산광역시 서구 동대신동 1가 340,15,35.10773306,129.0211635
부산광역시,서구,동대신동,동대신동,동대2제1공영,공영,노상,부산광역시 서구 동대신동 2가 452-4,12,35.11190758,129.0206502
부산광역시,서구,부용동,부용동,부민동제4공영,공영,노상,부산광역시 서구 부용동 1가 66-1,20,35.1054,129.0209641
부산광역시,서구,아미동,아미동,아미제2공영,공영,노상,부산광역시 서구 아미동 1가 1,11,35.10162136,129.0191316
부산광역시,서구,토성동,토성동,충무동제2공영,공영,노상,부산광역시 서구 토성동 3가 32,21,35.09871169,129.0202696
부산광역시,서구,토성동,토성동,충무동제5공영,공영,노상,부산광역시 서구 토성동 1가 8-1,14,35.09997376,129.0239549
부산광역시,서구,남부민동,남부민동,남부민1동제1공영,공영,노상,부산광역시 서구 남부민동  695-2,14,35.09226544,129.0248132
부산광역시,서구,남부민동,남부민동,남부민2동제2공영,공영,노상,부산광역시 서구 남부민동  692-2,23,35.08665201,129.0255684
부산광역시,서구,남부민동,남부민동,남부민2동제3공영,공영,노상,부산광역시 서구 남부민동  705,14,35.08477133,129.0257308
부산광역시,서구,암남동,암남동,암남동제1공영,공영,노상,부산광역시 서구 암남동  135-2,38,35.07594825,129.0232321
부산광역시,남구,용호동,용호동,백운포체육공원앞공영주차장,공영,노상,부산광역시 남구 용호동  895-5번지,155,35.10150535,129.1101675
부산광역시,수영구,광안동,광안동,광안리해수욕장 공영주차장,공영,노외,부산광역시 수영구 광안동  198-3,54,35.15155234,129.1159106
부산광역시,수영구,망미동,망미동,망미동노외공영주차장,공영,노외,부산광역시 수영구 망미동  979-73,171,35.1703321,129.0968083
부산광역시,서구,서대신동,서대신동,시약로공영,공영,노외,부산광역시 서구 서대신동 3가 92,20,35.11781755,129.0140209
부산광역시,서구,암남동,암남동,암남동제5공영,공영,노상,부산광역시 서구 암남동  123-50,26,35.07754638,129.0246258
부산광역시,서구,암남동,암남동,서구 원양로제1공영,공영,노상,부산광역시 서구 암남동  633-2,81,35.07181963,129.007192
부산광역시,서구,남부민동,남부민동,충무동새벽시장공영,공영,노외,부산광역시 서구 남부민동  685-1,68,35.09279999,129.0249123
부산광역시,서구,암남동,암남동,송도공영,공영,노외,부산광역시 서구 암남동  579,49,35.07388627,129.0155545
부산광역시,서구,동대신동,동대신동,망양공영,공영,노외,부산광역시 서구 동대신동 1가 11-15,101,35.11158841,129.0250968
부산광역시,서구,동대신동,동대신동,북산리공영,공영,노외,부산광역시 서구 동대신동 2가 79-39,99,35.11440754,129.0241429
부산광역시,서구,서대신동,서대신동,고운들공영,공영,노외,부산광역시 서구 서대신동 2가 509-233,81,35.10680331,129.0124623
부산광역시,서구,서대신동,서대신동,구덕꽃마을공영,공영,노외,부산광역시 서구 서대신동 3가 산 10-1,125,35.12678135,129.0080823
부산광역시,서구,아미동,아미동,아미까치공영,공영,노외,부산광역시 서구 아미동 2가 249-1,69,35.10449398,129.0094847
부산광역시,서구,아미동,아미동,아미골공영,공영,노외,부산광역시 서구 아미동 2가 212-8,62,35.09913956,129.0136151
부산광역시,서구,아미동,아미동,아미초등학교지하공영,공영,노외,부산광역시 서구 아미동 2가 89,76,35.09830133,129.0157158
부산광역시,서구,남부민동,남부민동,해돋이공영,공영,노외,부산광역시 서구 남부민동  50-13,102,35.09134048,129.0211414
부산광역시,서구,부민동,부민동,부민동공영,공영,노외,부산광역시 서구 부민동 3가 56,64,35.1024919,129.0167661
부산광역시,서구,부민동,부민동,부민동제2공영,공영,노외,부산광역시 서구 부민동 3가 36-1,30,35.10326642,129.0178135
부산광역시,서구,남부민동,남부민동,남부민2동공영,공영,노외,부산광역시 서구 남부민동  595-2,149,35.08369639,129.0206883
부산광역시,서구,충무동,충무동,충무동골목시장공영,공영,노외,부산광역시 서구 충무동 1가 37-1,13,35.0943952,129.02368
부산광역시,서구,암남동,암남동,암남공원공영,공영,노외,부산광역시 서구 암남동  620-4,327,35.06386655,129.0204717
부산광역시,서구,남부민동,남부민동,천해로공영,공영,노외,부산광역시 서구 남부민동  434-227,54,35.08410097,129.0162049
