statNm,statId,chgerId,chgerType,addr,region_2depth_name,region_3depth_name,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree
부산시 교육청,ME181208,1,6,부산광역시 부산진구 화지로 12,부산진구,양정동,35.176287,129.064777,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26230,A0,A003,Y
부산아시아드보조경기장VIP주차장,ME181210,11,4,부산광역시 연제구 거제동 1312,연제구,거제동,35.188449,129.055808,05:00~24:00,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26470,J0,J007,Y
부산아시아드보조경기장VIP주차장,ME181210,12,4,부산광역시 연제구 거제동 1312,연제구,거제동,35.188449,129.055808,05:00~24:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,100,동시,26,26470,J0,J007,Y
부산아시아드보조경기장VIP주차장,ME181210,51,4,부산광역시 연제구 거제동 1312,연제구,거제동,35.188449,129.055808,05:00~24:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,100,동시,26,26470,J0,J007,Y
부산아시아드보조경기장VIP주차장,ME181210,52,4,부산광역시 연제구 거제동 1312,연제구,거제동,35.188449,129.055808,05:00~24:00,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26470,J0,J007,Y
롯데마트 사상점,ME181223,1,6,부산광역시 사상구 낙동대로 733 (엄궁동),사상구,엄궁동,35.127586,128.968375,10:00~23:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26530,E0,E001,Y
롯데마트 동래점,ME181224,1,6,부산광역시 동래구 중앙대로 1393 (온천동),동래구,온천동,35.212005,129.077246,10:00~23:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26260,E0,E001,Y
롯데마트 광복점,ME181225,1,6,부산광역시 중구 중앙대로2 (중앙동7가),중구,중앙동,35.097858,129.036146,10:00~23:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26110,E0,E001,Y
철마면사무소,ME183023,1,6,부산광역시 기장군 철마면철마면485,기장군,철마면,35.2746745,129.1496941,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26710,A0,A002,Y
장안읍사무소,ME183024,1,6,부산광역시 기장군 장안읍 좌방길 5,기장군,장안읍,35.3138644,129.2440318,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26710,A0,A002,Y
정관읍사무소,ME183076,1,6,"부산광역시 기장군 정관읍 용수로 4, 입구 우측",기장군,정관읍,35.3254808,129.1803974,24시간 이용가능,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26710,A0,A002,Y
롯데마트 사하점,ME184073,1,6,부산광역시 사하구 을숙도대로 610,사하구,장림동,35.08484,128.971577,10:00~23:00,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26380,E0,E001,Y
이마트 해운대점,ME184074,1,6,부산광역시 해운대구 좌동순환로 511,해운대구,중동,35.165994,129.167388,10:00~24:00,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26350,E0,E001,Y
동원 공영주차장,ME18C179,1,6,부산광역시 북구 만덕동 934,북구,만덕동,35.210513,129.030131,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,100,단독,26,26320,B0,B001,Y
